; Buckwalter Arabic Lexicon -- Version Date: April 2009				
; Copyright (c) 2000-2009 QAMUS LLC (www.qamus.org)				
		Pref-0		
wlAy	walAyu	IVPref-hn-yu	and + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
flAy	falAya	IVPref-hn-ya	and/so + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
flAy	falAyu	IVPref-hn-yu	and/so + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
mAy	mAya	IVPref-hn-ya	not + they [FEM PL]	NEG_PART + SUBJ:3FP
mAy	mAyu	IVPref-hn-yu	not + they [FEM PL]	NEG_PART + SUBJ:3FP
wmAy	wamAya	IVPref-hn-ya	and + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
wmAy	wamAyu	IVPref-hn-yu	and + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
fmAy	famAya	IVPref-hn-ya	and/so + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
fmAy	famAyu	IVPref-hn-yu	and/so + not + they [FEM PL]	CONJ + NEG_PART + SUBJ:3FP
ly	liya	IVPref-hw-liya	for + him/it to	SUB + SUBJ:3MS
ly	liyu	IVPref-hw-liyu	for + him/it to	SUB + SUBJ:3MS
wly	waliya	IVPref-hw-liya	and + for + him/it to	CONJ + SUB + SUBJ:3MS
wly	waliyu	IVPref-hw-liyu	and + for + him/it to	CONJ + SUB + SUBJ:3MS
fly	faliya	IVPref-hw-liya	and/so + for + him/it to	CONJ + SUB + SUBJ:3MS
fly	faliyu	IVPref-hw-liyu	and/so + for + him/it to	CONJ + SUB + SUBJ:3MS
ly	liya	IVPref-hmA-liya	for + them [DU] to	SUB + SUBJ:3MD
ly	liyu	IVPref-hmA-liyu	for + them [DU] to	SUB + SUBJ:3MD
wly	waliya	IVPref-hmA-liya	and + for + them [DU] to	CONJ + SUB + SUBJ:3MD
wly	waliyu	IVPref-hmA-liyu	and + for + them [DU] to	CONJ + SUB + SUBJ:3MD
fly	faliya	IVPref-hmA-liya	and/so + for + them [DU] to	CONJ + SUB + SUBJ:3MD
fly	faliyu	IVPref-hmA-liyu	and/so + for + them [DU] to	CONJ + SUB + SUBJ:3MD
ly	liya	IVPref-hm-liya	for + them (people) to	SUB + SUBJ:3MP
ly	liyu	IVPref-hm-liyu	for + them (people) to	SUB + SUBJ:3MP
wly	waliya	IVPref-hm-liya	and + for + them (people) to	CONJ + SUB + SUBJ:3MP
wly	waliyu	IVPref-hm-liyu	and + for + them (people) to	CONJ + SUB + SUBJ:3MP
fly	faliya	IVPref-hm-liya	and/so + for + them (people) to	CONJ + SUB + SUBJ:3MP
fly	faliyu	IVPref-hm-liyu	and/so + for + them (people) to	CONJ + SUB + SUBJ:3MP
ly	liya	IVPref-hn-liya	for + them [FEM PL] to	SUB + SUBJ:3FP
ly	liyu	IVPref-hn-liyu	for + them [FEM PL] to	SUB + SUBJ:3FP
wly	waliya	IVPref-hn-liya	and + for + them [FEM PL] to	CONJ + SUB + SUBJ:3FP
wly	waliyu	IVPref-hn-liyu	and + for + them [FEM PL] to	CONJ + SUB + SUBJ:3FP
fly	faliya	IVPref-hn-liya	and/so + for + them [FEM PL] to	CONJ + SUB + SUBJ:3FP
fly	faliyu	IVPref-hn-liyu	and/so + for + them [FEM PL] to	CONJ + SUB + SUBJ:3FP
ly	liya	IVPref-hw-liya_jus	let + him/it	JUS + SUBJ:3MS
ly	liyu	IVPref-hw-liyu_jus	let + him/it	JUS + SUBJ:3MS
wly	waloya	IVPref-hw-liya_jus	and + let + him/it	CONJ + JUS + SUBJ:3MS
wly	waloyu	IVPref-hw-liyu_jus	and + let + him/it	CONJ + JUS + SUBJ:3MS
fly	faloya	IVPref-hw-liya_jus	and/so + let + him/it	CONJ + JUS + SUBJ:3MS
fly	faloyu	IVPref-hw-liyu_jus	and/so + let + him/it	CONJ + JUS + SUBJ:3MS
ly	liya	IVPref-hmA-liya_jus	let + them [DU]	JUS + SUBJ:3MD
ly	liyu	IVPref-hmA-liyu_jus	let + them [DU]	JUS + SUBJ:3MD
wly	waloya	IVPref-hmA-liya_jus	and + let + them [DU]	CONJ + JUS + SUBJ:3MD
wly	waloyu	IVPref-hmA-liyu_jus	and + let + them [DU]	CONJ + JUS + SUBJ:3MD
fly	faloya	IVPref-hmA-liya_jus	and/so + let + them [DU]	CONJ + JUS + SUBJ:3MD
fly	faloyu	IVPref-hmA-liyu_jus	and/so + let + them [DU]	CONJ + JUS + SUBJ:3MD
ly	liya	IVPref-hm-liya_jus	let + them (people)	JUS + SUBJ:3MP
ly	liyu	IVPref-hm-liyu_jus	let + them (people)	JUS + SUBJ:3MP
wly	waloya	IVPref-hm-liya_jus	and + let + them (people)	CONJ + JUS + SUBJ:3MP
wly	waloyu	IVPref-hm-liyu_jus	and + let + them (people)	CONJ + JUS + SUBJ:3MP
fly	faloya	IVPref-hm-liya_jus	and/so + let + them (people)	CONJ + JUS + SUBJ:3MP
fly	faloyu	IVPref-hm-liyu_jus	and/so + let + them (people)	CONJ + JUS + SUBJ:3MP
ly	liya	IVPref-hn-liya_jus	let + them [FEM PL]	JUS + SUBJ:3FP
ly	liyu	IVPref-hn-liyu_jus	let + them [FEM PL]	JUS + SUBJ:3FP
wly	waloya	IVPref-hn-liya_jus	and + let + them [FEM PL]	CONJ + JUS + SUBJ:3FP
wly	waloyu	IVPref-hn-liyu_jus	and + let + them [FEM PL]	CONJ + JUS + SUBJ:3FP
fly	faloya	IVPref-hn-liya_jus	and/so + let + them [FEM PL]	CONJ + JUS + SUBJ:3FP
fly	faloyu	IVPref-hn-liyu_jus	and/so + let + them [FEM PL]	CONJ + JUS + SUBJ:3FP
t	ta	IVPref-hy-ta	she/it/they	SUBJ:3FS
t	tu	IVPref-hy-tu	she/it/they	SUBJ:3FS
wt	wata	IVPref-hy-ta	and + she/it/they	CONJ + SUBJ:3FS
wt	watu	IVPref-hy-tu	and + she/it/they	CONJ + SUBJ:3FS
ft	fata	IVPref-hy-ta	and/so + she/it/they	CONJ + SUBJ:3FS
ft	fatu	IVPref-hy-tu	and/so + she/it/they	CONJ + SUBJ:3FS
st	sata	IVPref-hy-ta	will + she/it/they	FUT + SUBJ:3FS
st	satu	IVPref-hy-tu	will + she/it/they	FUT + SUBJ:3FS
wst	wasata	IVPref-hy-ta	and + will + she/it/they	CONJ + FUT + SUBJ:3FS
wst	wasatu	IVPref-hy-tu	and + will + she/it/they	CONJ + FUT + SUBJ:3FS
fst	fasata	IVPref-hy-ta	and/so + will + she/it/they	CONJ + FUT + SUBJ:3FS
fst	fasatu	IVPref-hy-tu	and/so + will + she/it/they	CONJ + FUT + SUBJ:3FS
lAt	lAta	IVPref-hy-ta	not + she/it/they	NEG_PART + SUBJ:3FS
lAt	lAtu	IVPref-hy-tu	not + she/it/they	NEG_PART + SUBJ:3FS
wlAt	walAta	IVPref-hy-ta	and + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
wlAt	walAtu	IVPref-hy-tu	and + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
flAt	falAta	IVPref-hy-ta	and/so + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
flAt	falAtu	IVPref-hy-tu	and/so + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
mAt	mAta	IVPref-hy-ta	not + she/it/they	NEG_PART + SUBJ:3FS
mAt	mAtu	IVPref-hy-tu	not + she/it/they	NEG_PART + SUBJ:3FS
wmAt	wamAta	IVPref-hy-ta	and + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
wmAt	wamAtu	IVPref-hy-tu	and + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
fmAt	famAta	IVPref-hy-ta	and/so + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
fmAt	famAtu	IVPref-hy-tu	and/so + not + she/it/they	CONJ + NEG_PART + SUBJ:3FS
t	ta	IVPref-Anta-ta	you [MASC SG]	SUBJ:2MS
t	tu	IVPref-Anta-tu	you [MASC SG]	SUBJ:2MS
wt	wata	IVPref-Anta-ta	and + you [MASC SG]	CONJ + SUBJ:2MS
wt	watu	IVPref-Anta-tu	and + you [MASC SG]	CONJ + SUBJ:2MS
ft	fata	IVPref-Anta-ta	and/so + you [MASC SG]	CONJ + SUBJ:2MS
ft	fatu	IVPref-Anta-tu	and/so + you [MASC SG]	CONJ + SUBJ:2MS
st	sata	IVPref-Anta-ta	will + you [MASC SG]	FUT + SUBJ:2MS
st	satu	IVPref-Anta-tu	will + you [MASC SG]	FUT + SUBJ:2MS
wst	wasata	IVPref-Anta-ta	and + will + you [MASC SG]	CONJ + FUT + SUBJ:2MS
wst	wasatu	IVPref-Anta-tu	and + will + you [MASC SG]	CONJ + FUT + SUBJ:2MS
fst	fasata	IVPref-Anta-ta	and/so + will + you [MASC SG]	CONJ + FUT + SUBJ:2MS
fst	fasatu	IVPref-Anta-tu	and/so + will + you [MASC SG]	CONJ + FUT + SUBJ:2MS
lAt	lAta	IVPref-Anta-ta	not + you [MASC SG]	NEG_PART + SUBJ:2MS
lAt	lAtu	IVPref-Anta-tu	not + you [MASC SG]	NEG_PART + SUBJ:2MS
wlAt	walAta	IVPref-Anta-ta	and + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
wlAt	walAtu	IVPref-Anta-tu	and + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
flAt	falAta	IVPref-Anta-ta	and/so + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
flAt	falAtu	IVPref-Anta-tu	and/so + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
mAt	mAta	IVPref-Anta-ta	not + you [MASC SG]	NEG_PART + SUBJ:2MS
mAt	mAtu	IVPref-Anta-tu	not + you [MASC SG]	NEG_PART + SUBJ:2MS
wmAt	wamAta	IVPref-Anta-ta	and + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
wmAt	wamAtu	IVPref-Anta-tu	and + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
fmAt	famAta	IVPref-Anta-ta	and/so + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
fmAt	famAtu	IVPref-Anta-tu	and/so + not + you [MASC SG]	CONJ + NEG_PART + SUBJ:2MS
t	ta	IVPref-AntmA-ta	you [DU]	SUBJ:2D
t	tu	IVPref-AntmA-tu	you [DU]	SUBJ:2D
wt	wata	IVPref-AntmA-ta	and + you [DU]	CONJ + SUBJ:2D
wt	watu	IVPref-AntmA-tu	and + you [DU]	CONJ + SUBJ:2D
ft	fata	IVPref-AntmA-ta	and/so + you [DU]	CONJ + SUBJ:2D
ft	fatu	IVPref-AntmA-tu	and/so + you [DU]	CONJ + SUBJ:2D
st	sata	IVPref-AntmA-ta	will + you [DU]	FUT + SUBJ:2D
st	satu	IVPref-AntmA-tu	will + you [DU]	FUT + SUBJ:2D
wst	wasata	IVPref-AntmA-ta	and + will + you [DU]	CONJ + FUT + SUBJ:2D
wst	wasatu	IVPref-AntmA-tu	and + will + you [DU]	CONJ + FUT + SUBJ:2D
fst	fasata	IVPref-AntmA-ta	and/so + will + you [DU]	CONJ + FUT + SUBJ:2D
fst	fasatu	IVPref-AntmA-tu	and/so + will + you [DU]	CONJ + FUT + SUBJ:2D
lAt	lAta	IVPref-AntmA-ta	not + you [DU]	NEG_PART + SUBJ:2D
lAt	lAtu	IVPref-AntmA-tu	not + you [DU]	NEG_PART + SUBJ:2D
wlAt	walAta	IVPref-AntmA-ta	and + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
wlAt	walAtu	IVPref-AntmA-tu	and + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
flAt	falAta	IVPref-AntmA-ta	and/so + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
flAt	falAtu	IVPref-AntmA-tu	and/so + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
mAt	mAta	IVPref-AntmA-ta	not + you [DU]	NEG_PART + SUBJ:2D
mAt	mAtu	IVPref-AntmA-tu	not + you [DU]	NEG_PART + SUBJ:2D
wmAt	wamAta	IVPref-AntmA-ta	and + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
wmAt	wamAtu	IVPref-AntmA-tu	and + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
fmAt	famAta	IVPref-AntmA-ta	and/so + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
fmAt	famAtu	IVPref-AntmA-tu	and/so + not + you [DU]	CONJ + NEG_PART + SUBJ:2D
t	ta	IVPref-hmA-ta	they [DU] [FEM DU]	SUBJ:3FD
t	tu	IVPref-hmA-tu	they [DU] [FEM DU]	SUBJ:3FD
wt	wata	IVPref-hmA-ta	and + they [DU] [FEM DU]	CONJ + SUBJ:3FD
wt	watu	IVPref-hmA-tu	and + they [DU] [FEM DU]	CONJ + SUBJ:3FD
ft	fata	IVPref-hmA-ta	and/so + they [DU] [FEM DU]	CONJ + SUBJ:3FD
ft	fatu	IVPref-hmA-tu	and/so + they [DU] [FEM DU]	CONJ + SUBJ:3FD
st	sata	IVPref-hmA-ta	will + they [DU] [FEM DU]	FUT + SUBJ:3FD
st	satu	IVPref-hmA-tu	will + they [DU] [FEM DU]	FUT + SUBJ:3FD
wst	wasata	IVPref-hmA-ta	and + will + they [DU] [FEM DU]	CONJ + FUT + SUBJ:3FD
wst	wasatu	IVPref-hmA-tu	and + will + they [DU] [FEM DU]	CONJ + FUT + SUBJ:3FD
fst	fasata	IVPref-hmA-ta	and/so + will + they [DU] [FEM DU]	CONJ + FUT + SUBJ:3FD
fst	fasatu	IVPref-hmA-tu	and/so + will + they [DU] [FEM DU]	CONJ + FUT + SUBJ:3FD
lAt	lAta	IVPref-hmA-ta	not + they [DU] [FEM DU]	NEG_PART + SUBJ:3FD
lAt	lAtu	IVPref-hmA-tu	not + they [DU] [FEM DU]	NEG_PART + SUBJ:3FD
wlAt	walAta	IVPref-hmA-ta	and + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
wlAt	walAtu	IVPref-hmA-tu	and + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
flAt	falAta	IVPref-hmA-ta	and/so + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
flAt	falAtu	IVPref-hmA-tu	and/so + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
mAt	mAta	IVPref-hmA-ta	not + they [DU] [FEM DU]	NEG_PART + SUBJ:3FD
mAt	mAtu	IVPref-hmA-tu	not + they [DU] [FEM DU]	NEG_PART + SUBJ:3FD
wmAt	wamAta	IVPref-hmA-ta	and + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
wmAt	wamAtu	IVPref-hmA-tu	and + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
fmAt	famAta	IVPref-hmA-ta	and/so + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
fmAt	famAtu	IVPref-hmA-tu	and/so + not + they [DU] [FEM DU]	CONJ + NEG_PART + SUBJ:3FD
t	ta	IVPref-Anti-ta	you [FEM SG]	SUBJ:2FS
t	tu	IVPref-Anti-tu	you [FEM SG]	SUBJ:2FS
wt	wata	IVPref-Anti-ta	and + you [FEM SG]	CONJ + SUBJ:2FS
wt	watu	IVPref-Anti-tu	and + you [FEM SG]	CONJ + SUBJ:2FS
ft	fata	IVPref-Anti-ta	and/so + you [FEM SG]	CONJ + SUBJ:2FS
ft	fatu	IVPref-Anti-tu	and/so + you [FEM SG]	CONJ + SUBJ:2FS
st	sata	IVPref-Anti-ta	will + you [FEM SG]	FUT + SUBJ:2FS
st	satu	IVPref-Anti-tu	will + you [FEM SG]	FUT + SUBJ:2FS
wst	wasata	IVPref-Anti-ta	and + will + you [FEM SG]	CONJ + FUT + SUBJ:2FS
wst	wasatu	IVPref-Anti-tu	and + will + you [FEM SG]	CONJ + FUT + SUBJ:2FS
fst	fasata	IVPref-Anti-ta	and/so + will + you [FEM SG]	CONJ + FUT + SUBJ:2FS
